date,value,source_id,mapping_config
2019-01-01T00:00:00Z,1,466107,R151_Classe_Temporelle_BASE
2019-01-02T00:00:00Z,2,466107,R151_Classe_Temporelle_BASE
2019-01-03T00:00:00Z,3,466107,R151_Classe_Temporelle_BASE
2019-01-04T00:00:00Z,5,466107,R151_Classe_Temporelle_BASE
2019-01-05T00:00:00Z,8,466107,R151_Classe_Temporelle_BASE
2019-01-06T00:00:00Z,13,466107,R151_Classe_Temporelle_BASE
2019-01-07T00:00:00Z,21,466107,R151_Classe_Temporelle_BASE
2019-01-08T00:00:00Z,34,466107,R151_Classe_Temporelle_BASE
2019-01-09T00:00:00Z,55,466107,R151_Classe_Temporelle_BASE
2019-01-10T00:00:00Z,89,466107,R151_Classe_Temporelle_BASE
2019-01-11T00:00:00Z,144,466107,R151_Classe_Temporelle_BASE
2019-01-08T00:00:00Z,1,466107,R151_Classe_Temporelle_HP
2019-01-09T00:00:00Z,2,466107,R151_Classe_Temporelle_HP
2019-01-10T00:00:00Z,3,466107,R151_Classe_Temporelle_HP
2019-01-12T00:00:00Z,5,466107,R151_Classe_Temporelle_HP
2019-01-13T00:00:00Z,8,466107,R151_Classe_Temporelle_HP
2019-01-14T00:00:00Z,13,466107,R151_Classe_Temporelle_HP
2019-01-15T00:00:00Z,21,466107,R151_Classe_Temporelle_HP
2019-01-16T00:00:00Z,34,466107,R151_Classe_Temporelle_HP
2019-01-17T00:00:00Z,55,466107,R151_Classe_Temporelle_HP
2019-01-18T00:00:00Z,89,466107,R151_Classe_Temporelle_HP
2019-02-01T00:00:00Z,1,466107,R151_Classe_Temporelle_HC
2019-03-02T00:00:00Z,2,466107,R151_Classe_Temporelle_HC
2019-04-03T00:00:00Z,3,466107,R151_Classe_Temporelle_HC
2019-05-04T00:00:00Z,5,466107,R151_Classe_Temporelle_HC
2019-06-05T00:00:00Z,8,466107,R151_Classe_Temporelle_HC
2019-07-06T00:00:00Z,13,466107,R151_Classe_Temporelle_HC
2019-08-07T00:00:00Z,21,466107,R151_Classe_Temporelle_HC
2019-09-08T00:00:00Z,34,466107,R151_Classe_Temporelle_HC
2019-10-09T00:00:00Z,55,466107,R151_Classe_Temporelle_HC
2019-20-10T00:00:00Z,89,466107,R151_Classe_Temporelle_HC

