date,value,source_id,mapping_config
2019-01-01T00:00:00Z,100,466107,R15_Classe_Temporelle_BASE_Classe-1_REEL
2019-01-01T00:00:00Z,101,466107,R15_Classe_Temporelle_BASE_Classe-1_ESTIME
2019-01-01T00:00:00Z,102,466107,R15_Classe_Temporelle_BASE_Classe-1_REGULARISE
2019-03-01T00:00:00Z,200,466107,R15_Classe_Temporelle_BASE_Classe-1_REEL
2019-03-01T00:00:00Z,201,466107,R15_Classe_Temporelle_BASE_Classe-1_ESTIME
2019-05-01T00:00:00Z,300,466107,R15_Classe_Temporelle_BASE_Classe-1_REEL
2019-05-01T00:00:00Z,302,466107,R15_Classe_Temporelle_BASE_Classe-1_REGULARISE
2019-07-01T00:00:00Z,401,466107,R15_Classe_Temporelle_BASE_Classe-1_ESTIME
2019-07-01T00:00:00Z,402,466107,R15_Classe_Temporelle_BASE_Classe-1_REGULARISE
2019-09-01T00:00:00Z,500,466107,R15_Classe_Temporelle_BASE_Classe-1_REEL
2019-11-01T00:00:00Z,601,466107,R15_Classe_Temporelle_BASE_Classe-1_ESTIME
2020-01-01T00:00:00Z,702,466107,R15_Classe_Temporelle_BASE_Classe-1_REGULARISE
