date,value,source_serialnumber,mapping_config
2021-10-28T00:00:00+0000,2e-06,FarAway-UTC,utc_2
2021-10-28T01:00:00+0000,3e-06,FarAway-UTC,utc_2
2021-10-28T02:00:00+0000,4.9999999999999996e-06,FarAway-UTC,utc_2
2021-10-28T03:00:00+0000,8e-06,FarAway-UTC,utc_2
2021-10-28T04:00:00+0000,1.3e-05,FarAway-UTC,utc_2
2021-10-28T05:00:00+0000,2.1e-05,FarAway-UTC,utc_2
2021-10-28T06:00:00+0000,3.4e-05,FarAway-UTC,utc_2
2021-10-28T07:00:00+0000,5.4999999999999995e-05,FarAway-UTC,utc_2
2021-10-28T08:00:00+0000,8.9e-05,FarAway-UTC,utc_2
2021-10-28T09:00:00+0000,0.00014399999999999998,FarAway-UTC,utc_2
2021-10-28T10:00:00+0000,0.00023299999999999997,FarAway-UTC,utc_2
2021-10-28T11:00:00+0000,0.00037699999999999995,FarAway-UTC,utc_2
2021-10-28T12:00:00+0000,0.0006099999999999999,FarAway-UTC,utc_2
2021-10-28T13:00:00+0000,0.0009869999999999998,FarAway-UTC,utc_2
2021-10-28T14:00:00+0000,0.0015969999999999997,FarAway-UTC,utc_2
2021-10-28T15:00:00+0000,0.0025839999999999995,FarAway-UTC,utc_2
2021-10-28T16:00:00+0000,0.004180999999999999,FarAway-UTC,utc_2
2021-10-28T17:00:00+0000,0.0067649999999999984,FarAway-UTC,utc_2
2021-10-28T18:00:00+0000,0.010945999999999997,FarAway-UTC,utc_2
2021-10-28T19:00:00+0000,0.017710999999999998,FarAway-UTC,utc_2
2021-10-28T20:00:00+0000,0.028656999999999995,FarAway-UTC,utc_2
2021-10-28T21:00:00+0000,0.04636799999999999,FarAway-UTC,utc_2
2021-10-28T22:00:00+0000,0.07502499999999998,FarAway-UTC,utc_2
2021-10-28T23:00:00+0000,0.12139299999999997,FarAway-UTC,utc_2
2021-10-29T00:00:00+0000,0.19641799999999995,FarAway-UTC,utc_2
2021-10-29T01:00:00+0000,0.31781099999999995,FarAway-UTC,utc_2
2021-10-29T02:00:00+0000,0.5142289999999999,FarAway-UTC,utc_2
2021-10-29T03:00:00+0000,0.8320399999999999,FarAway-UTC,utc_2
2021-10-29T04:00:00+0000,1.346269,FarAway-UTC,utc_2
2021-10-29T05:00:00+0000,2.1783089999999996,FarAway-UTC,utc_2
2021-10-29T06:00:00+0000,3.5245779999999995,FarAway-UTC,utc_2
2021-10-29T07:00:00+0000,5.702886999999999,FarAway-UTC,utc_2
2021-10-29T08:00:00+0000,9.227464999999999,FarAway-UTC,utc_2
2021-10-29T09:00:00+0000,14.930351999999997,FarAway-UTC,utc_2
2021-10-29T10:00:00+0000,24.157816999999994,FarAway-UTC,utc_2
2021-10-29T11:00:00+0000,39.08816899999999,FarAway-UTC,utc_2
2021-10-29T12:00:00+0000,63.24598599999999,FarAway-UTC,utc_2
2021-10-29T13:00:00+0000,102.33415499999998,FarAway-UTC,utc_2
2021-10-29T14:00:00+0000,165.58014099999997,FarAway-UTC,utc_2
2021-10-29T15:00:00+0000,267.9142959999999,FarAway-UTC,utc_2
2021-10-29T16:00:00+0000,433.4944369999999,FarAway-UTC,utc_2
2021-10-29T17:00:00+0000,701.4087329999998,FarAway-UTC,utc_2
2021-10-29T18:00:00+0000,1134.9031699999996,FarAway-UTC,utc_2
2021-10-29T19:00:00+0000,1836.3119029999993,FarAway-UTC,utc_2
2021-10-29T20:00:00+0000,2971.215072999999,FarAway-UTC,utc_2
2021-10-29T21:00:00+0000,4807.526975999998,FarAway-UTC,utc_2
2021-10-29T22:00:00+0000,7778.742048999997,FarAway-UTC,utc_2
2021-10-29T23:00:00+0000,12586.269024999994,FarAway-UTC,utc_2
2021-10-30T00:00:00+0000,20365.01107399999,FarAway-UTC,utc_2
2021-10-30T01:00:00+0000,32951.28009899998,FarAway-UTC,utc_2
2021-10-30T02:00:00+0000,53316.291172999976,FarAway-UTC,utc_2
2021-10-30T03:00:00+0000,86267.57127199996,FarAway-UTC,utc_2
2021-10-30T04:00:00+0000,139583.86244499992,FarAway-UTC,utc_2
2021-10-30T05:00:00+0000,225851.4337169999,FarAway-UTC,utc_2
2021-10-30T06:00:00+0000,365435.2961619998,FarAway-UTC,utc_2
2021-10-30T07:00:00+0000,591286.7298789998,FarAway-UTC,utc_2
2021-10-30T08:00:00+0000,956722.0260409996,FarAway-UTC,utc_2
2021-10-30T09:00:00+0000,1548008.7559199994,FarAway-UTC,utc_2
2021-10-30T10:00:00+0000,2504730.781960999,FarAway-UTC,utc_2
2021-10-30T11:00:00+0000,4052739.5378809986,FarAway-UTC,utc_2
2021-10-30T12:00:00+0000,6557470.319841998,FarAway-UTC,utc_2
2021-10-30T13:00:00+0000,10610209.857722996,FarAway-UTC,utc_2
2021-10-30T14:00:00+0000,17167680.177564994,FarAway-UTC,utc_2
2021-10-30T15:00:00+0000,27777890.03528799,FarAway-UTC,utc_2
2021-10-30T16:00:00+0000,44945570.212852985,FarAway-UTC,utc_2
2021-10-30T17:00:00+0000,72723460.24814098,FarAway-UTC,utc_2
2021-10-30T18:00:00+0000,117669030.46099396,FarAway-UTC,utc_2
2021-10-30T19:00:00+0000,190392490.70913494,FarAway-UTC,utc_2
2021-10-30T20:00:00+0000,308061521.1701289,FarAway-UTC,utc_2
2021-10-30T21:00:00+0000,498454011.8792638,FarAway-UTC,utc_2
2021-10-30T22:00:00+0000,806515533.0493927,FarAway-UTC,utc_2
2021-10-30T23:00:00+0000,1304969544.9286566,FarAway-UTC,utc_2
2021-10-31T00:00:00+0000,2111485077.9780493,FarAway-UTC,utc_2
2021-10-31T01:00:00+0000,3416454622.906706,FarAway-UTC,utc_2
2021-10-31T02:00:00+0000,5527939700.884755,FarAway-UTC,utc_2
2021-10-31T03:00:00+0000,8944394323.791462,FarAway-UTC,utc_2
2021-10-31T04:00:00+0000,14472334024.676216,FarAway-UTC,utc_2
2021-10-31T05:00:00+0000,23416728348.467678,FarAway-UTC,utc_2
2021-10-31T06:00:00+0000,37889062373.14389,FarAway-UTC,utc_2
2021-10-31T07:00:00+0000,61305790721.61157,FarAway-UTC,utc_2
2021-10-31T08:00:00+0000,99194853094.75546,FarAway-UTC,utc_2
2021-10-31T09:00:00+0000,160500643816.36703,FarAway-UTC,utc_2
2021-10-31T10:00:00+0000,259695496911.1225,FarAway-UTC,utc_2
2021-10-31T11:00:00+0000,420196140727.4895,FarAway-UTC,utc_2
2021-10-31T12:00:00+0000,679891637638.612,FarAway-UTC,utc_2
2021-10-31T13:00:00+0000,1100087778366.1016,FarAway-UTC,utc_2
2021-10-31T14:00:00+0000,1779979416004.7136,FarAway-UTC,utc_2
2021-10-31T15:00:00+0000,2880067194370.8154,FarAway-UTC,utc_2
2021-10-31T16:00:00+0000,4660046610375.529,FarAway-UTC,utc_2
2021-10-31T17:00:00+0000,7540113804746.345,FarAway-UTC,utc_2
2021-10-31T18:00:00+0000,12200160415121.875,FarAway-UTC,utc_2
2021-10-31T19:00:00+0000,19740274219868.22,FarAway-UTC,utc_2
2021-10-31T20:00:00+0000,31940434634990.094,FarAway-UTC,utc_2
2021-10-31T21:00:00+0000,51680708854858.31,FarAway-UTC,utc_2
2021-10-31T22:00:00+0000,83621143489848.4,FarAway-UTC,utc_2
2021-10-31T23:00:00+0000,135301852344706.72,FarAway-UTC,utc_2
2021-11-01T00:00:00+0000,218922995834555.12,FarAway-UTC,utc_2
2021-11-01T01:00:00+0000,354224848179261.9,FarAway-UTC,utc_2
2021-11-01T02:00:00+0000,573147844013817.0,FarAway-UTC,utc_2
2021-11-01T03:00:00+0000,927372692193078.9,FarAway-UTC,utc_2
2021-11-01T04:00:00+0000,1500520536206896.0,FarAway-UTC,utc_2
2021-11-01T05:00:00+0000,2427893228399975.0,FarAway-UTC,utc_2
2021-11-01T06:00:00+0000,3928413764606871.0,FarAway-UTC,utc_2
2021-11-01T07:00:00+0000,6356306993006846.0,FarAway-UTC,utc_2
2021-11-01T08:00:00+0000,1.0284720757613716e+16,FarAway-UTC,utc_2
2021-11-01T09:00:00+0000,1.6641027750620562e+16,FarAway-UTC,utc_2
2021-11-01T10:00:00+0000,2.692574850823428e+16,FarAway-UTC,utc_2
2021-11-01T11:00:00+0000,4.356677625885484e+16,FarAway-UTC,utc_2
2021-11-01T12:00:00+0000,7.049252476708912e+16,FarAway-UTC,utc_2
2021-11-01T13:00:00+0000,1.1405930102594397e+17,FarAway-UTC,utc_2
2021-11-01T14:00:00+0000,1.845518257930331e+17,FarAway-UTC,utc_2
2021-11-01T15:00:00+0000,2.98611126818977e+17,FarAway-UTC,utc_2
2021-11-01T16:00:00+0000,4.831629526120101e+17,FarAway-UTC,utc_2
2021-11-01T17:00:00+0000,7.817740794309871e+17,FarAway-UTC,utc_2
2021-11-01T18:00:00+0000,1.2649370320429972e+18,FarAway-UTC,utc_2
2021-11-01T19:00:00+0000,2.0467111114739845e+18,FarAway-UTC,utc_2
2021-11-01T20:00:00+0000,3.311648143516982e+18,FarAway-UTC,utc_2
2021-11-01T21:00:00+0000,5.358359254990967e+18,FarAway-UTC,utc_2
2021-11-01T22:00:00+0000,8.670007398507948e+18,FarAway-UTC,utc_2
2021-11-01T23:00:00+0000,1.4028366653498915e+19,FarAway-UTC,utc_2
2021-11-02T00:00:00+0000,2.2698374052006863e+19,FarAway-UTC,utc_2
